character,pinyin,gloss,gloss_source,gloss_agreement,our_render,lock_status,never_render_as,occurrences,chapter_count,chapters,first_chapter,last_chapter,per_1000,glossary_entry
之,zhī,it,apparatus,18/31,,,,252,63,"1,2,3,4,5,6,8,9,10,11,12,13,14,15,17,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,46,48,49,50,51,54,55,58,59,61,62,63,64,65,66,67,68,73,74,75,76,77,78,80,81",1,81,47.58,
不,bù,,apparatus-split,17/56,,,,242,74,"2,3,4,5,6,7,8,9,10,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,50,51,52,54,55,56,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,76,77,78,79,80,81",2,81,45.69,
以,yǐ,,apparatus-split,2/19,,,,164,61,"1,2,3,5,7,11,12,13,14,15,16,19,20,21,22,25,26,27,29,30,31,32,34,36,37,38,39,41,42,43,44,46,47,48,49,50,51,52,54,57,58,59,60,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,81",1,81,30.97,
其,qí,,apparatus-split,7/25,,,,143,51,"1,3,4,5,7,9,11,14,15,16,17,20,21,24,25,27,28,29,30,33,34,35,38,39,42,45,47,48,49,50,52,54,56,57,58,59,60,63,64,65,66,67,71,72,73,74,75,76,77,78,80",1,80,27.0,
而,ér,,apparatus-split,12/29,,,,122,49,"1,2,4,5,7,8,9,10,14,15,17,20,22,23,25,26,27,29,30,31,32,33,34,35,37,38,41,42,47,48,51,53,55,56,57,58,61,64,66,67,69,70,73,74,77,78,79,80,81",1,81,23.04,
為,wéi,do / handle / serve as,locked,,do / handle / serve as,locked,execute; function as,113,48,"2,3,5,10,11,12,13,14,15,19,21,22,23,25,26,28,29,31,34,37,38,39,41,42,43,45,47,48,49,51,52,56,57,58,61,62,63,64,65,66,67,68,69,74,75,77,79,81",2,81,21.34,glossary/wei-為.md
無,Wú,absence,locked,,absence,locked,Being; Non-Being; existence; the Void; nothingness,101,40,"1,2,3,7,8,10,11,13,14,19,20,24,27,28,32,34,35,37,38,39,40,41,43,46,48,49,50,52,57,58,59,63,64,69,70,72,75,78,79,80",1,80,19.07,glossary/wu-you-無有.md
天,tiān,sky (as a tier) · nature / the natural (as an agent),locked,,sky (as a tier) · nature / the natural (as an agent),locked,Heaven; Providence; the Almighty; the Cosmos,92,46,"1,2,5,6,7,9,10,13,16,22,23,25,26,28,29,30,31,32,35,37,39,40,43,45,46,47,48,49,52,54,56,57,59,60,61,62,63,66,67,68,70,73,77,78,79,81",1,81,17.37,glossary/tian-天.md
者,zhě,those,apparatus,14/18,,,,90,38,"1,3,7,13,14,15,19,22,23,24,27,29,30,31,33,38,39,40,42,49,50,54,56,61,62,64,65,66,68,69,70,73,74,75,76,77,78,81",1,81,16.99,
人,rén,,apparatus-split,5/13,,,,85,41,"2,3,5,7,8,12,20,22,23,25,27,28,29,30,31,33,36,42,47,49,50,53,57,58,59,60,61,62,63,64,66,68,70,71,72,73,76,77,78,79,81",2,81,16.05,
有,yǒu,presence,locked,,presence,locked,Being; Non-Being; existence; the Void; nothingness,83,44,"1,2,10,11,13,14,17,18,19,20,21,22,23,24,25,26,30,31,32,33,34,38,40,41,43,46,48,50,51,52,53,57,59,62,64,67,69,70,74,75,77,79,80,81",1,81,15.67,glossary/wu-you-無有.md
下,xià,,apparatus-split,1/3,,,,82,40,"2,13,14,17,22,25,26,28,29,30,31,32,35,37,38,39,40,41,43,45,46,47,48,49,52,54,56,57,60,61,62,63,64,66,67,68,70,76,77,78",2,78,15.48,
道,Dào,the Tao (left untranslated),locked,,the Tao (left untranslated),locked,the Way; the Path,75,37,"1,4,8,9,14,15,16,18,21,23,24,25,30,31,32,34,35,37,38,40,41,42,46,47,48,51,53,55,59,60,62,65,67,73,77,79,81",1,81,14.16,glossary/dao-道.md
是,Shì,,apparatus-split,6/12,,,,71,45,"2,3,6,7,10,12,13,14,16,21,22,24,26,27,29,30,31,36,38,39,43,44,47,51,52,53,56,58,59,63,64,65,66,68,69,70,71,72,73,74,75,76,77,78,79",2,79,13.41,
故,Gù,Therefore,apparatus,15/24,,,,64,42,"1,2,7,8,11,12,13,14,15,19,22,23,24,25,27,28,29,31,34,38,39,41,42,44,46,50,51,54,56,57,60,61,62,63,64,65,66,67,69,72,73,76",1,76,12.08,
大,dà,,apparatus-split,7/14,,,,58,24,"13,18,25,27,28,30,34,35,38,41,44,45,46,53,60,61,63,65,67,69,72,74,76,79",13,79,10.95,
知,zhī,,apparatus-split,5/14,,,,57,31,"2,3,4,10,14,16,17,21,25,28,32,33,43,44,46,47,52,53,54,55,56,57,58,59,65,70,71,72,73,78,81",2,81,10.76,
善,shàn,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),locked,,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),locked,virtuous; righteous; saintly; benevolent,52,18,"2,8,15,20,27,30,41,49,50,54,58,62,65,66,68,73,79,81",2,81,9.82,glossary/shan-善.md
於,yú,,apparatus-split,4/11,,,,48,23,"8,14,20,23,28,31,32,34,36,40,46,48,50,53,54,55,63,64,69,73,75,78,79",8,79,9.06,
若,ruò,,apparatus-split,7/21,,,,46,15,"6,8,13,15,20,32,37,41,45,59,60,67,69,74,78",6,78,8.69,
德,dé,integrity,locked,,integrity,locked,virtue; moral excellence; power,44,16,"10,21,23,28,38,41,49,51,54,55,59,60,63,65,68,79",10,79,8.31,glossary/de-德.md
生,shēng,give birth to / bear / bring forth,locked,,give birth to / bear / bring forth,locked,generate; produce; manufacture; create,38,19,"2,7,10,15,25,30,34,39,40,42,46,50,51,55,59,64,72,75,76",2,76,7.18,glossary/sheng-生.md
物,wù,things / something,covers,,things / something,locked,,37,27,"1,2,4,5,8,14,16,21,24,25,27,29,30,31,32,34,37,39,40,42,51,55,57,62,64,65,76",1,76,6.99,glossary/wanwu-萬物.md
可,kě,,apparatus-split,2/4,,,,36,20,"1,3,9,13,14,15,20,25,27,29,31,32,34,35,36,44,56,59,62,79",1,79,6.8,
謂,wèi,called,apparatus,10/12,,,,35,24,"1,6,10,13,14,16,17,22,27,30,36,39,51,52,53,55,56,59,65,67,68,69,74,78",1,78,6.61,
得,dé,,apparatus-split,3/8,,,,33,19,"3,12,13,14,22,23,29,30,31,39,42,44,46,52,56,61,62,64,74",3,74,6.23,
能,néng,can,apparatus,6/11,,,,33,17,"7,8,9,10,14,15,22,23,32,34,37,63,66,67,70,77,78",7,78,6.23,
自,zì,,apparatus-split,4/11,,,,33,18,"7,9,17,21,22,23,24,25,32,33,34,37,39,51,57,64,72,73",7,73,6.23,
則,zé,then/thus,apparatus,14/14,,,,32,17,"3,22,26,28,30,31,38,55,59,61,64,67,70,72,73,76,77",3,77,6.04,
民,mín,people,apparatus,4/4,,,,32,13,"3,10,19,32,57,58,64,65,66,72,74,75,80",3,80,6.04,
聖,shèng,sageliness,apparatus,1/1,,,,31,26,"2,3,5,7,12,19,22,27,28,29,47,49,57,58,60,63,64,66,70,71,72,73,77,78,79,81",2,81,5.85,
夫,Fū,Now then,apparatus,2/2,,,,30,23,"2,3,8,15,16,22,31,32,37,38,41,50,51,59,60,61,63,67,70,71,72,74,75",2,75,5.66,
常,cháng,the ever-present / the abiding,locked,,the ever-present / the abiding,locked,eternal; everlasting; the eternal,30,19,"1,3,16,27,28,32,34,37,46,48,49,51,52,55,61,64,65,74,79",1,79,5.66,glossary/chang-常.md
兮,xī,oh,apparatus,24/24,,,,28,9,"4,14,15,17,20,21,25,34,58",4,58,5.29,
所,suǒ,,apparatus-split,1/2,,,,26,18,"7,8,13,19,20,22,30,33,42,50,58,61,62,64,66,72,73,80",7,80,4.91,
欲,yù,,apparatus-split,1/2,,,,26,15,"1,3,15,19,29,34,36,37,39,46,57,61,64,66,77",1,77,4.91,
國,guó,state,apparatus,2/2,,,,25,10,"10,18,36,57,59,60,61,65,78,80",10,80,4.72,
名,míng,,apparatus-split,4/8,,,,23,9,"1,14,21,25,32,34,37,41,44",1,44,4.34,
將,jiāng,that is about to,apparatus,1/1,,,,23,10,"15,29,31,32,36,37,39,42,65,67",15,67,4.34,
身,shēn,body/self,apparatus,5/9,,,,23,9,"7,9,13,16,26,44,52,54,66",7,66,4.34,
吾,Wú,the self seeing,locked,,the self seeing,locked,,22,15,"4,13,16,21,25,29,37,42,43,49,54,57,69,70,74",4,74,4.15,glossary/wo-wu-我吾.md
強,qiáng,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",locked,,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",locked,mighty; forceful; brute strength; perseverance,22,12,"3,15,25,29,30,33,36,42,52,55,76,78",3,78,4.15,glossary/qiang-強.md
曰,yuē,called,apparatus,7/12,,,,22,8,"14,16,24,25,52,55,62,67",14,67,4.15,
用,yòng,use,covers,,use,locked,,22,15,"4,6,11,27,28,31,35,40,45,50,52,57,68,69,80",4,80,4.15,glossary/wu-you-無有.md
貴,guì,,apparatus-split,2/8,,,,22,15,"3,9,13,17,20,27,31,39,51,56,62,64,70,72,75",3,75,4.15,
事,shì,"affairs / undertakings (noun) · to serve, to attend to (verb)",locked,,"affairs / undertakings (noun) · to serve, to attend to (verb)",locked,techniques; processes,21,14,"2,8,17,23,30,31,48,52,57,59,61,63,64,70",2,70,3.97,glossary/shi-事.md
萬,wàn,countless,covers,,countless,locked,,21,17,"1,2,4,5,8,16,26,32,34,37,39,40,42,51,62,64,76",1,76,3.97,glossary/wanwu-萬物.md
言,yán,,apparatus-split,3/6,,,,21,18,"2,5,8,17,22,23,27,31,41,43,56,62,66,69,70,73,78,81",2,81,3.97,
莫,mò,no one,apparatus,2/2,,,,20,11,"9,22,32,38,46,51,59,66,69,70,78",9,78,3.78,
行,xíng,,apparatus-split,2/7,,,,20,17,"2,12,24,25,26,27,29,33,41,47,50,53,62,64,69,70,78",2,78,3.78,
上,Shàng,,apparatus-split,1/3,,,,19,10,"8,14,17,31,38,41,66,71,75,76",8,76,3.59,
我,Wǒ,the self seen,locked,,the self seen,locked,,19,7,"17,20,42,53,57,67,70",17,70,3.59,glossary/wo-wu-我吾.md
足,zú,,apparatus-split,2/4,,,,19,12,"17,19,23,28,33,35,41,44,46,48,64,77",17,77,3.59,
地,dì,earth,apparatus,5/7,,,,18,10,"1,5,6,7,8,23,25,32,39,50",1,50,3.4,
或,huò,sometimes,apparatus,7/10,,,,18,7,"4,24,29,31,42,61,73",4,73,3.4,
死,sǐ,,apparatus-split,1/2,,,,18,9,"6,33,42,50,67,74,75,76,80",6,80,3.4,
失,Shī,,apparatus-split,2/8,,,,17,8,"13,23,26,29,33,38,64,73",13,73,3.21,
成,chéng,,apparatus-split,2/4,,,,17,14,"2,7,15,17,25,34,41,45,47,51,63,64,67,77",2,77,3.21,
勝,Shèng,One who overcomes/defeats,apparatus,2/3,,,,16,11,"31,33,36,45,61,67,68,69,73,76,78",31,78,3.02,
唯,wéi,Agreement/yes,apparatus,1/1,,,,16,15,"2,8,15,20,22,41,42,53,59,67,70,71,72,75,77",2,77,3.02,
此,Cǐ,this,apparatus,4/6,,,,16,15,"1,12,14,15,19,21,23,38,39,54,57,62,65,72,73",1,73,3.02,
長,cháng,,apparatus-split,1/5,,,,16,12,"2,7,9,10,22,24,28,44,51,54,59,67",2,67,3.02,
一,yī,the one (lowercase) · one thing (ch 22) · plain numeral where it counts,locked,,the one (lowercase) · one thing (ch 22) · plain numeral where it counts,locked,the One; Oneness; the Absolute,15,8,"10,11,14,22,25,39,42,67",10,67,2.83,glossary/yi-一.md
信,xìn,trust / trustworthy,locked,,trust / trustworthy,locked,faith; sincerity; belief,15,8,"8,17,21,23,38,49,63,81",8,81,2.83,glossary/xin-信.md
復,Fù,,apparatus-split,1/3,,,,15,8,"14,16,19,28,52,58,64,80",14,80,2.83,
與,yǔ,,apparatus-split,2/4,,,,15,12,"8,20,22,35,36,44,65,66,68,77,79,81",8,81,2.83,
處,chǔ,,apparatus-split,2/4,,,,15,10,"2,8,24,26,30,31,38,66,76,77",2,77,2.83,
也,yě,particle,apparatus,3/4,,,,14,9,"3,20,24,29,32,53,55,67,76",3,76,2.64,
何,Hé,What,apparatus,3/3,,,,14,9,"13,20,21,26,50,54,57,62,74",13,74,2.64,
多,Duō,Many/much,apparatus,1/1,,,,14,8,"5,22,44,57,63,65,75,81",5,81,2.64,
