component,pinyin,gloss,role,gloss_status,builds_characters,characters
人,rén,,semantic,the apparatus glosses this character several ways and none won a majority,36,"亡,什,仁,介,代,企,伎,伏,伐,伯,何,作,佳,使,侮,俗,保,信,倍,倚,偏,傷,儉,儼,光,化,千,及,咎,寒,死,老,色,負,身,鬼"
水,shuǐ,water,semantic,glossed,34,"冰,梁,汎,江,沖,没,治,況,法,泣,注,泮,泰,活,海,淡,深,淳,淵,混,清,渙,渝,渾,湛,滅,滋,滌,滿,澹,濁,濟,益,谷"
口,kǒu,mouths,semantic,glossed,24,"中,加,召,可,右,各,合,同,名,含,吹,吾,味,命,和,哀,哉,唯,如,害,曰,甘,知,言"
心,xīn,heart,semantic,glossed,24,"忌,忒,志,忠,怒,怨,恃,恐,恢,恬,悠,患,悲,悶,惑,惟,惡,愚,慈,慎,慧,應,懷,懼"
宀,mián,a roof; under a house,semantic,glossed,20,"奧,字,守,安,宗,官,客,室,宰,害,家,容,寄,富,寒,察,寡,實,寵,寶"
手,shǒu,,semantic,not yet glossed — see sources/component-glosses.yaml,20,"失,奉,扔,投,抗,拔,拙,拱,持,挫,捨,推,握,揣,損,搏,據,攘,攝,攫"
木,mù,,semantic,not yet glossed — see sources/component-glosses.yaml,17,"奈,末,本,枉,果,枯,柔,柢,根,梁,楗,極,榮,樸,甲,相,陳"
言,yán,,semantic,the apparatus glosses this character several ways and none won a majority,17,"信,計,託,訥,詰,誠,誰,諱,諾,謀,謂,謫,識,譬,譽,辯,音"
大,dà,,semantic,the apparatus glosses this character several ways and none won a majority,15,"交,亦,去,天,夫,央,夷,夸,奇,契,奢,爽,立,美,赤"
貝,bèi,"a cowrie shell — money, worth",semantic,glossed,15,"則,寶,負,財,貧,貨,責,貴,貸,費,資,賓,賢,賤,質"
辵,chuò,"walking, going along a road",semantic,glossed,15,"從,迎,迷,通,逝,進,遂,遇,過,道,達,遠,遺,還,隨"
土,tǔ,,semantic,not yet glossed — see sources/component-glosses.yaml,13,"在,地,均,坐,垢,埏,埴,基,堂,堅,塞,里,金"
